id	pfam_id	uniprot_id	pfam_embedding	uniprot_embedding	refSeqAccession	entry	entry_name	protein_names	gene_names	organism	pfam_description	uniprot_function
None	PF13761	A0A6L8PTH4	None	None	WP_000002633.1	None	None	A0A6L8PTH4_BACAN	None	None	This domain is often found at the C-terminus of proteins containing Pfam:PF03435.	None
None	PF13761	A0AAC8N5Q3	None	None	WP_000002633.1	None	None	A0AAC8N5Q3_BACAN	None	None	This domain is often found at the C-terminus of proteins containing Pfam:PF03435.	None
None	PF01844	A0A3P1U8I5	None	None	WP_000002822.1	None	None	A0A3P1U8I5_BACAN	None	None	His-Asn-His (HNH) proteins are a very common family of small nucleic acid-binding proteins that are generally associated with endonuclease activity [[cite:PUB00106916]].	None
None	PF01844	A0A6L7HFU2	None	None	WP_000002822.1	None	None	A0A6L7HFU2_BACAN	None	None	His-Asn-His (HNH) proteins are a very common family of small nucleic acid-binding proteins that are generally associated with endonuclease activity [[cite:PUB00106916]].	None
None	PF00269	A0A348A604	None	None	WP_000002841.1	None	None	A0A348A604_BACAN	None	None	None	SASP are bound to spore DNA. They are double-stranded DNA-CC       binding proteins that cause DNA to change to an a-like conformation.CC       They protect the DNA backbone from chemical and enzymatic cleavage andCC       are thus involved in dormant spore's high resistance to UV light.CC       {ECO:0000256|ARBA:ARBA00003863}.
None	PF00269	A0A0G8BSY8	None	None	WP_000002841.1	None	None	A0A0G8BSY8_BACCE	None	None	None	SASP are bound to spore DNA. They are double-stranded DNA-CC       binding proteins that cause DNA to change to an a-like conformation.CC       They protect the DNA backbone from chemical and enzymatic cleavage andCC       are thus involved in dormant spore's high resistance to UV light.CC       {ECO:0000256|ARBA:ARBA00003863}.
None	PF00269	A0A9X6Q4L1	None	None	WP_000002841.1	None	None	A0A9X6Q4L1_BACTU	None	None	None	SASP are bound to spore DNA. They are double-stranded DNA-CC       binding proteins that cause DNA to change to an a-like conformation.CC       They protect the DNA backbone from chemical and enzymatic cleavage andCC       are thus involved in dormant spore's high resistance to UV light.CC       {ECO:0000256|ARBA:ARBA00003863}.
None	PF00269	A0AAE5MVU4	None	None	WP_000002841.1	None	None	A0AAE5MVU4_BACTU	None	None	None	SASP are bound to spore DNA. They are double-stranded DNA-CC       binding proteins that cause DNA to change to an a-like conformation.CC       They protect the DNA backbone from chemical and enzymatic cleavage andCC       are thus involved in dormant spore's high resistance to UV light.CC       {ECO:0000256|ARBA:ARBA00003863}.
None	PF00269	A0A9Q5SMD0	None	None	WP_000002841.1	None	None	A0A9Q5SMD0_BACTU	None	None	None	SASP are bound to spore DNA. They are double-stranded DNA-CC       binding proteins that cause DNA to change to an a-like conformation.CC       They protect the DNA backbone from chemical and enzymatic cleavage andCC       are thus involved in dormant spore's high resistance to UV light.CC       {ECO:0000256|ARBA:ARBA00003863}.
None	PF00269	A0A2A7W625	None	None	WP_000002841.1	None	None	A0A2A7W625_9BACI	None	None	None	SASP are bound to spore DNA. They are double-stranded DNA-CC       binding proteins that cause DNA to change to an a-like conformation.CC       They protect the DNA backbone from chemical and enzymatic cleavage andCC       are thus involved in dormant spore's high resistance to UV light.CC       {ECO:0000256|ARBA:ARBA00003863}.
None	PF00269	A0A5M9H3G0	None	None	WP_000002841.1	None	None	A0A5M9H3G0_9BACI	None	None	None	SASP are bound to spore DNA. They are double-stranded DNA-CC       binding proteins that cause DNA to change to an a-like conformation.CC       They protect the DNA backbone from chemical and enzymatic cleavage andCC       are thus involved in dormant spore's high resistance to UV light.CC       {ECO:0000256|ARBA:ARBA00003863}.
None	PF00269	A0A1J9U1Y9	None	None	WP_000002841.1	None	None	A0A1J9U1Y9_9BACI	None	None	None	SASP are bound to spore DNA. They are double-stranded DNA-CC       binding proteins that cause DNA to change to an a-like conformation.CC       They protect the DNA backbone from chemical and enzymatic cleavage andCC       are thus involved in dormant spore's high resistance to UV light.CC       {ECO:0000256|ARBA:ARBA00003863}.
None	PF00269	A0A386V505	None	None	WP_000002841.1	None	None	A0A386V505_9BACI	None	None	None	SASP are bound to spore DNA. They are double-stranded DNA-CC       binding proteins that cause DNA to change to an a-like conformation.CC       They protect the DNA backbone from chemical and enzymatic cleavage andCC       are thus involved in dormant spore's high resistance to UV light.CC       {ECO:0000256|ARBA:ARBA00003863}.
